,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
719,21.0,0.0,81.0,0.0,4.4448188283922105,0.0
720,1.0,0.0,12.0,0.0,15.24223198403423,1.9459014222361975e-15
721,3.0,0.0,13.0,0.0,14.03515622462196,1.9459014222361975e-15
722,1.0,0.0,11.0,0.0,14.1394839371491,0.0
723,1.0,0.0,11.0,0.0,14.101086749279494,0.0
724,0.0,0.0,10.0,0.0,13.803929333021838,1.9459014222361975e-15
725,1.0,0.0,12.0,0.0,13.753917231080774,1.9459014222361975e-15
726,0.0,0.0,9.0,0.0,14.025106700909358,7.944109290391273e-16
727,27.0,0.0,75.0,0.0,0.896707092987997,0.0
728,1.0,0.0,13.0,0.0,15.01960013584411,1.7763568394002505e-15
729,2.0,0.0,13.0,0.0,14.153555138313507,0.0
730,20.0,0.0,69.0,0.0,2.74340191398936,4.864753555590494e-16
731,7.0,0.0,19.0,0.0,13.782553786594002,1.7763568394002505e-15
732,36.0,0.0,100.0,0.0,-17.012003241864683,3.891802844472395e-15
733,0.0,0.0,17.0,0.0,16.95797321082661,0.0
734,12.0,0.0,100.0,0.0,-17.24130335651827,0.0
735,26.0,0.0,74.0,0.0,5.498955313563453,0.0
736,34.0,0.0,95.0,0.0,1.3241893693910305,0.0
737,6.0,0.0,58.0,0.0,8.958404850840605,1.9459014222361975e-15
738,0.0,0.0,41.0,0.0,12.426892128373808,0.0
739,27.0,0.0,100.0,0.0,-14.673485228943793,7.944109290391273e-16
740,2.0,0.0,17.0,0.0,16.71064434079176,0.0
741,2.0,0.0,13.0,0.0,14.133549540043614,7.944109290391273e-16
742,4.0,0.0,15.0,0.0,13.69510651117792,0.0
743,6.0,0.0,16.0,0.0,13.64663933868781,1.7763568394002505e-15
744,4.0,0.0,18.0,0.0,13.572189797271818,0.0
745,2.0,0.0,14.0,0.0,14.126994110335122,7.944109290391273e-16
746,1.0,0.0,42.0,0.0,8.494866100166911,0.0
747,0.0,0.0,48.0,0.0,10.520639482161055,1.9459014222361975e-15
748,5.0,0.0,18.0,0.0,15.934542276016746,1.9459014222361975e-15
749,1.0,0.0,14.0,0.0,14.056899258235134,0.0
750,4.0,0.0,16.0,0.0,13.53732080610315,7.944109290391273e-16
751,4.0,0.0,14.0,0.0,14.23115047908453,7.944109290391273e-16
752,3.0,0.0,14.0,0.0,14.124415500727576,1.9459014222361975e-15
753,2.0,0.0,14.0,0.0,14.091400835318558,1.7763568394002505e-15
754,2.0,0.0,14.0,0.0,14.050034256216572,0.0
755,0.0,0.0,15.0,0.0,13.93356449725469,1.9459014222361975e-15
756,3.0,0.0,14.0,0.0,14.124738518126486,1.7763568394002505e-15
757,1.0,0.0,16.0,0.0,14.040593955685102,1.7763568394002505e-15
758,5.0,0.0,22.0,0.0,12.491843475178976,0.0
759,3.0,0.0,52.0,0.0,6.329492638137252,9.729507111180987e-16
760,1.0,0.0,49.0,0.0,8.190521231634754,0.0
761,0.0,0.0,16.0,0.0,15.988267724192912,1.9459014222361975e-15
762,2.0,0.0,14.0,0.0,13.99171764430496,1.9459014222361975e-15
763,8.0,0.0,48.0,0.0,7.143420903259381,3.9720546451956367e-16
764,0.0,0.0,44.0,0.0,9.291358644914194,1.9459014222361975e-15
765,4.0,0.0,84.0,0.0,3.3882713760860845,0.0
