#{"t_start": 1632428674.5000808, "env_id": "PandaRlEnvironmentPush-v0"}
r,l,t
-25.420961,100,11597.397716
125.487519,20,11622.856029
-35.76359,36,11675.205718
-17.031799,51,11735.719267
-25.622576,100,11866.855741
140.072148,23,11898.252353
-35.928433,66,11971.060348
116.632431,69,12066.872952
-50.573088,50,12136.569274
-6.678502,33,12178.01514
-16.63843,100,12317.880719
127.737022,21,12348.373022
-52.553641,100,12476.557506
152.610302,49,12535.009478
100.422079,51,12599.3262
-32.205611,100,12736.024273
132.022038,18,12756.768312
100.529274,22,12785.009592
99.118493,28,12830.997237
-58.414141,43,12892.471138
137.496984,21,12925.454268
-25.953116,100,13072.149973
124.480088,34,13123.589208
100.598468,27,13162.564768
99.639337,21,13197.037777
99.481867,21,13222.167169
-38.756044,34,13266.310417
118.866759,20,13300.110786
-10.26784,100,13454.272614
-26.570837,36,13504.174314
116.353581,20,13535.396261
100.680437,43,13591.563015
-36.938464,39,13641.356454
117.965492,18,13662.484334
-37.862454,80,13760.152664
-20.175429,31,13798.195592
115.802626,32,13850.005301
-41.764804,100,13972.047019
122.269194,20,13996.308244
100.515402,21,14021.560209
98.885489,23,14049.605965
-40.658459,98,14169.924909
12.593376,100,14327.134796
108.02975,28,14362.441424
-38.840085,35,14404.062799
18.335987,100,14555.752714
100.532606,69,14637.664739
99.985254,31,14685.220974
101.128943,25,14719.476948
99.14946,25,14748.308551
99.67483,22,14775.845198
99.679759,17,14795.861456
101.043871,57,14869.968255
97.694752,29,14917.163738
101.391023,23,14943.980365
98.761092,25,14977.391559
100.767262,35,15022.355755
-42.80106,87,15150.141905
11.769695,100,15290.44591
111.218588,24,15322.101715
98.830999,23,15362.168457
-52.594349,56,15465.97814
132.423633,28,15510.333058
100.958064,22,15537.739176
99.99574,23,15572.798225
-8.064863,100,15710.225391
107.412184,30,15757.896759
-54.312567,61,15849.720925
133.571313,75,15961.351642
101.144724,28,16002.425745
99.288799,52,16071.974437
100.229568,26,16107.905851
-14.571738,100,16289.601679
114.229223,22,16324.742848
100.050643,85,16458.939645
99.66394,60,16545.886339
-39.801261,89,16680.81334
-18.307283,33,16726.600301
115.584181,21,16768.709592
101.248611,22,16803.666054
98.735499,19,16828.37388
-28.320054,100,16967.734934
128.851232,44,17031.127403
99.966781,27,17063.979096
100.207452,35,17107.667617
99.251449,60,17185.55203
116.911226,28,17238.62983
98.790742,24,17274.693336
-35.128417,75,17377.502569
-29.442281,94,17509.212689
14.583039,100,17654.132577
110.680968,25,17698.28271
99.52056,29,17742.85225
99.88431,27,17777.054062
-9.336022,100,17946.645743
109.617936,30,17987.326724
-34.759292,78,18097.572631
-0.487609,100,18256.742304
115.351326,27,18293.853819
100.31438,28,18332.310556
99.665817,77,18445.019923
97.655176,87,18565.167391
97.659293,31,18611.577558
99.422598,30,18665.09538
100.871798,23,18694.296973
99.114787,39,18743.898307
101.898246,22,18774.844656
100.099779,30,18816.823334
99.348781,41,18878.06982
99.380859,30,18925.881205
-4.122304,100,19076.951087
106.582553,19,19100.612486
99.649304,23,19129.221419
99.78887,24,19163.208548
98.508205,26,19195.500424
100.251413,54,19273.327621
-7.563556,100,19457.541929
-12.098797,100,19639.506953
-17.078497,89,19748.357719
-18.631876,100,19901.093123
135.183006,38,19951.830915
-6.572589,100,20093.364407
103.092007,40,20151.685394
-65.45839,28,20213.876253
145.565521,63,20308.892613
101.988406,26,20342.318209
97.604315,82,20445.242835
100.160359,39,20502.328785
100.087626,24,20536.853711
-12.307571,100,20676.543257
112.601354,31,20713.909582
-116.489362,98,20883.255496
210.882804,35,20926.218433
99.918517,18,20954.060353
100.017288,50,21025.671779
100.707201,20,21059.293602
-66.658403,89,21174.818133
146.071576,70,21269.866723
